OrgId,StoryId,PageNo,PageId,PageTitle,EditionId,EditionDate,Headline,Description,ImageUrl,Link,MIndexBase
25913c6ec28,3980762,1,510807,প্রথম পাতা,1,25/09/2026,"জ্বালানিসংকট নিয়ে আলোচনা, সম্পর্ক জোরদারে গুরুত্ব","কূটনৈতিক প্রতিবেদক, ঢাকা বাংলাদেশ কূটনী...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=25913c6ec28&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510807&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259de4ff630,3980763,1,510807,প্রথম পাতা,1,25/09/2026,"দেয়ালে কিশোর গ্যাংয়ের নাম, অভিযানেও থামছে না অপরাধ","মাহমুদুল হাসান ও আবদুর রহমান, কুমিল্লা ...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259de4ff630&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510807&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259e277b4a8,3980764,1,510807,প্রথম পাতা,1,25/09/2026,সুন্দরীর জায়গা নিচ্ছে কাঁকড়াগাছ,"পার্থ শঙ্কর সাহা, ঢাকা সুন্দরবনের চাঁদপ...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259e277b4a8&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510807&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259ccdb006c,3980765,1,510807,প্রথম পাতা,1,25/09/2026,"সেই ওসির বিরুদ্ধে রাষ্ট্রদ্রোহ মামলা, পাঁচ দিনের রিমান্ড","বিশেষ প্রতিবেদক, ঢাকা সরকার, পুলিশসহ বি...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259ccdb006c&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510807&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259394f0133,3980766,1,510807,প্রথম পাতা,1,25/09/2026,"দুই দফা উদ্যোগ, তবু হয়নি সংসদ সদস্য আচরণ আইন","রিয়াদুল করিম, ঢাকা সংসদের ভেতরে সংসদ সদ...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259394f0133&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510807&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259b952dca9,3980779,2,510810,খবর,1,25/09/2026,তবু হয়নি সংসদ সদস্য আচরণ আইন,"যুক্তরাজ্য, ভারত, পাকিস্তান, ভুটান, শ্র...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259b952dca9&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510810&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2596b3021af,3980780,2,510810,খবর,1,25/09/2026,ঢাকা-ইসলামাবাদ সম্পর্ক এগিয়ে নেওয়ার ওপর জোর দুই নেতার,নিউইয়র্কে বৈঠকে প্রধানমন্ত্রী তারেক রহম...,https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2596b3021af&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510810&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259baec9b70,3980782,2,510810,খবর,1,25/09/2026,বোয়িংয়ের সঙ্গে ১১টি নতুন উড়োজাহাজ কেনার চুক্তি,"সংবাদ সম্মেলনে মাহদী আমিন
 বাসস, ঢাকা স...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259baec9b70&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510810&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
25966dfa40d,3980783,2,510810,খবর,1,25/09/2026,বাংলাদেশ বৃহত্তম মুক্ত বাণিজ্যচুক্তিতে যুক্ত হওয়ার পথে,"ইউএনবি, ঢাকা  বিশ্বের বৃহত্তম মুক্ত বাণ...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=25966dfa40d&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510810&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259c86ee76c,3980784,2,510810,খবর,1,25/09/2026,জাতিসংঘ সাধারণ পরিষদের সভাপতির দপ্তরে লিগ্যাল অফিসার জাইমা রহমান,"কূটনৈতিক প্রতিবেদক, ঢাকা জাতিসংঘ সাধারণ...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259c86ee76c&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510810&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
