OrgId,StoryId,PageNo,PageId,PageTitle,EditionId,EditionDate,MShareArticle,MIndexBase
16226dccdfa,3922130,1,497971,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16226dccdfa&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497971&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162ed21ac07,3922132,1,497971,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162ed21ac07&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497971&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162cfb135f4,3922133,1,497971,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162cfb135f4&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497971&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162d84c411a,3922134,1,497971,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162d84c411a&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497971&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1621eb071b4,3922135,1,497971,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1621eb071b4&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497971&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
16283225f87,3922136,1,497971,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16283225f87&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497971&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162dde8a26b,3922137,1,497971,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162dde8a26b&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497971&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162e3c50d89,3922138,1,497971,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162e3c50d89&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497971&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162465eef66,3922139,1,497971,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162465eef66&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497971&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162ef580706,3922131,1,497971,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162ef580706&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497971&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
16212c74693,3922192,2,497979,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16212c74693&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497979&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1627cf03770,3922193,2,497979,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1627cf03770&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497979&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
16229bdc8fe,3922194,2,497979,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16229bdc8fe&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497979&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162a7e22b20,3922195,2,497979,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162a7e22b20&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497979&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1622ef6f1d2,3922196,2,497979,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1622ef6f1d2&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497979&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
